timestamp,user_message,bot_response,confidence
2025-11-29T09:13:07.238598,What are the vegeterian options,"I'm not fully sure about that. Could you rephrase or try a simpler question? You can also ask about menu items, prices, prep time, or dietary info.",0.3591878116130829
2025-11-29T09:13:25.805744,what are the menu items,Yes! Mini pancakes and omelets are available for kids.,0.5054309368133545
2025-11-29T09:13:46.082072,what are the items on the menu,Yes! Mini pancakes and omelets are available for kids.,0.46167486906051636
2025-11-29T09:13:58.223693,Chicken Pie,"Chicken Pie: Price is 350 KES, prep time is 10 mins, dietary info: Contains Meat, Contains Wheat.",1.0000001192092896
2025-11-29T09:24:15.356669,hello,"**Name**
Java House

💰 Price:  KES  |  ⏱ Prep Time:  mins  |  🥗 Diet: ",0.4947788715362549
2025-11-29T09:47:28.704623,Build Your Own Omelette - Mushrooms,"**Build Your Own Omelette - Mushrooms**
Build Your Own Omelette - Mushrooms: Price is 210 KES, prep time is 2 mins, dietary info: Vegetarian, Contains Dairy, Contains Eggs, Contains Mushrooms.
💰 210 | ⏱ 2.0 | 🥗 Vegetarian, Contains Dairy, Contains Eggs, Contains Mushrooms",1.0000001192092896
2025-11-29T09:48:08.324826,How do i contact you,"**Contact Phone**
+254 722 123 456",0.7068397998809814
2025-11-29T09:55:57.537027,Chocolate Fudge Cake,"**Chocolate Fudge Cake**
Chocolate Fudge Cake: Price is 480 KES, prep time is 7 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs.
💰 480 | ⏱ 7.0 | 🥗 Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs",1.0000001192092896
2025-11-29T09:57:03.348618,What time do you open,"**What are your opening hours?**
We are open daily from 9 AM to 11 PM.",0.8098493814468384
2025-11-29T10:07:14.097831,Menu,Yes! Mini pancakes and omelets are available for kids.,0.5106332898139954
